"","Individual_ID","Plant_Nickname","Genus_Species"
"1",85759,"12843*A, Tree 6","Betula_alleghaniensis"
"8635",85761,"12843*D, Tree 7","Betula_alleghaniensis"
"14762",85762,"12843*E, Tree 9","Betula_alleghaniensis"
"21929",85763,"12843*H, Tree 8","Betula_alleghaniensis"
"28525",85764,"629-83*D, Tree 10","Betula_alleghaniensis"
"35848",86258,"1199*D, Tree 5","Betula_nigra"
"42843",86259,"1251-79*A, Tree 3","Betula_nigra"
"52309",86260,"1251-79*B, Tree 2","Betula_nigra"
"63386",86261,"1199*J, Tree 1","Betula_nigra"
"70263",87754,"1251-79*E, Tree 4","Betula_nigra"
"77667",85757,"12651*I, Tree 9","Aesculus_flava"
"83991",86278,"16611*F, Tree 2","Populus_deltoides"
"90773",86279,"16611*J, Tree 3","Populus_deltoides"
"97190",86280,"16611*K, Tree 4","Populus_deltoides"
"103702",86281,"16611*O, Tree 5","Populus_deltoides"
"110253",86282,"22099*A, Tree 6","Populus_deltoides"
"117404",86289,"1323-82*A, Tree 1","Tilia_americana"
"125011",87756,"611-2010*A, Tree 8","Quercus_alba"
"131627",87757,"17538*A, Tree 10","Tilia_americana"
"138764",92209,"689-2010*A, Tree 7","Acer_saccharum"
"147368",85751,"12651*C, Tree 7","Aesculus_flava"
"150525",85755,"12651*D, Tree 6","Aesculus_flava"
"153365",85756,"12651*H, Tree 5","Aesculus_flava"
"156352",85758,"925-79*B, Tree 4","Aesculus_flava"
"161581",86290,"19804*A, Tree 2","Tilia_americana"
"167042",87762,"7141*A, Tree 3","Tilia_americana"
"172933",87763,"17527*D, Tree 1","Tilia_americana"
"178368",86273,"22798*A American beech","Fagus_grandifolia"
"179599",86274,"14585*D, Tree 2","Fagus_grandifolia"
"183587",86275,"14585*C, Tree 3","Fagus_grandifolia"
"186857",86276,"14585*G, Tree 4","Fagus_grandifolia"
"190260",86277,"14585*J American beech","Fagus_grandifolia"
"191305",135343,"14585*B, Tree 1","Fagus_grandifolia"
"192226",135911,"22798*A, Tree 0","Fagus_grandifolia"
"193596",86262,"20095*A, Tree 6","Carya_glabra"
"196935",86263,"20098*A, Tree 8","Carya_glabra"
"200929",86264,"6990*A, Tree 7","Carya_glabra"
"204325",86265,"2019*S, Tree 9","Carya_glabra"
"208569",86266,"2019*R, Tree 10","Carya_glabra"
"213716",86268,"12907*B, Tree 3","Carya_ovata"
"219672",86269,"12907*D, Tree 4","Carya_ovata"
"225394",86270,"12907*G, Tree 2","Carya_ovata"
"232104",86271,"12907*I, Tree 1","Carya_ovata"
"238423",86272,"12907*N, Tree 5","Carya_ovata"
"245226",86285,"16882*B, Tree 5","Quercus_rubra"
"248112",86286,"11253*A, Tree 1","Quercus_rubra"
"251082",86287,"5859*B, Tree 4","Quercus_rubra"
"253601",86288,"8197*A, Tree 2","Quercus_rubra"
"256444",87758,"21815*E, Tree 9","Quercus_alba"
"259706",87759,"227-2011*A, Tree 7","Quercus_alba"
"261817",87760,"5859*A, Tree 3","Quercus_rubra"
"264227",87761,"358-82*A, Tree 8","Quercus_alba"
"267956",88311,"22886*D, Tree 6","Quercus_alba"
"269970",92203,"187-2006*B, Tree 1","Acer_saccharum"
"277511",92204,"22834*B, Tree 2","Acer_saccharum"
"284764",92206,"20645*A, Tree 3","Acer_saccharum"
"288739",92208,"12565*C, Tree 4","Acer_saccharum"
