"spp","mean","p5","p25","p75","p95"
"aspp_raw[1]",0.508,-2.86,-0.929,1.922,3.849
"aspp_raw[2]",-2.206,-4.791,-3.285,-1.132,0.367
"aspp_raw[3]",0.012,-1.501,-0.581,0.608,1.506
"aspp_raw[4]",-0.106,-2.597,-1.085,0.911,2.39
"aspp_raw[5]",0.287,-1.368,-0.39,0.969,1.907
"aspp_raw[6]",0.16,-1.83,-0.636,0.942,2.097
"aspp_raw[7]",1.159,-1.183,0.22,2.125,3.51
"aspp_raw[8]",-0.004,-1.926,-0.785,0.774,1.928
"aspp_raw[9]",1.144,-5.514,-1.504,3.75,7.642
"aspp_raw[10]",-1.879,-8.128,-4.398,0.69,4.404
"1",0.508,-2.86,-0.929,1.922,3.849
"2",-2.206,-4.791,-3.285,-1.132,0.367
"3",0.012,-1.501,-0.581,0.608,1.506
"4",-0.106,-2.597,-1.085,0.911,2.39
"5",0.287,-1.368,-0.39,0.969,1.907
"6",0.16,-1.83,-0.636,0.942,2.097
"7",1.159,-1.183,0.22,2.125,3.51
"8",-0.004,-1.926,-0.785,0.774,1.928
"9",1.144,-5.514,-1.504,3.75,7.642
"10",-1.879,-8.128,-4.398,0.69,4.404
"11",0.924,-0.651,0.299,1.543,2.492
