"year","GDD_5"
1936,1958.9
1937,2048.2
1938,2027.25
1939,1918.35
1940,1740.85
1941,2023
1942,2042.7
1943,2044.1
1944,2078.6
1945,2051.65
1946,2008
1947,2027.4
1948,1977.5
1949,2330
1950,2022
1951,2085.55
1952,2157.6
1953,2124.9
1954,2007.45
1955,2208.35
1956,1892.75
1957,2130.1
1958,1900.25
1959,2116.4
1960,2053.35
1961,1968.85
1962,1975.4
1963,2097.65
1964,1877.2
1965,1917.5
1966,2027.4
1967,1838.25
1968,1962.35
1969,2054.15
1970,2089.2
1971,1979.85
1972,1937.15
1973,2192.9
1974,1997.8
1975,2125.55
1976,2345.8
1977,2258.95
1978,2021.15
1979,2161.8
1980,2080
1981,2231.5
1982,1976.65
1983,2212.15
1984,2068.9
1985,2043.9
1986,1994.85
1987,1865.4
1988,2088.95
1989,2055.2
1990,2064.7
1991,2314.25
1992,1870.15
1993,2146.15
1994,2225.25
1995,2103.55
1996,1990.7
1997,2002
1998,2119.15
1999,2164.35
2000,1973.3
2001,2057.2
2002,2186.2
2003,1965.3
2004,1984.35
2005,1977.3
2006,2127.9
2007,2105.1
2008,2082.25
2009,1998.45
2010,2336.8
2011,2173.15
2012,2327.6
2013,2149.15
2014,2039.75
2015,2060.2
2016,2240.6
2017,2111.7
2018,2249.9
2019,2252.2
2020,2142.2
2021,2346.2
2022,2311.9
2023,2167.7
2024,2180.55
